,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
583.5,571.8,542.7,513.5,484.3,455.2,"Sana24, Med Call",545.4,534.5,507.2,479.9,452.7,425.4
554.1,542.4,513.2,484.1,454.9,425.7,"Sana24, Tel Doc",517.8,506.9,479.7,452.4,425.2,397.9
594.5,582.9,553.7,524.5,495.4,466.2,"Sanitas, CallMed",553.5,542.7,515.5,488.4,461.3,434.1
524.2,512.6,483.4,454.2,425.1,395.9,"Sanitas, CompactOne",488.1,477.3,450.1,422.9,395.8,368.6
538.6,527.1,498.1,468.6,439.6,410.6,"Supra, PrimaFlex",500.9,490.3,463.3,435.8,408.9,381.9
605.5,593.8,571.3,542.1,513,483.8,"Swica, FAVORIT TELMED",563.1,552.2,531.3,504.2,477.1,449.9
587.6,580.9,546.7,517.6,488.4,459.2,"Visana, Combi Care",549.1,542.9,511,483.7,456.5,429.2
646.3,639.6,605.4,576.3,547.1,517.9,"Visana, Med Call",604,597.8,565.9,538.6,511.3,484.1
541.9,535.2,501.1,471.9,442.7,413.6,"Visana, Tel Care",506.5,500.2,468.3,441,413.8,386.5
574.5,567.8,533.7,504.5,475.3,446.2,"Visana, Tel Doc",537,530.7,498.8,471.5,444.3,417
522.3,510.7,481.5,452.3,423.2,394,"Vivacare, Combi Care",488.2,477.3,450,422.8,395.5,368.2
630.5,618.9,589.7,560.5,531.4,502.2,"Vivacare, Med Call",589.3,578.4,551.1,523.9,496.6,469.4
579.6,567.9,538.8,509.6,480.4,451.3,"Vivacare, Tel Care",541.7,530.8,503.6,476.3,449,421.8
586,574.3,545.1,516,486.8,457.6,"Vivacare, Tel Doc",547.7,536.8,509.5,482.3,455,427.7
529.9,518.2,489,459.9,430.7,401.5,"Vivao Sympany, FlexHelp 24",492.9,482,454.8,427.8,400.6,373.4
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,4/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Hausarztmodell,,,,,,,
,,,,,Primes – Médecin de famille,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
548.6,537,507.8,478.6,449.5,420.3,"Assura, Hausarzt Modell",510.2,499.5,472.3,445.1,418.1,390.9
545.5,533.9,504.7,475.5,446.4,417.2,"Assura, PharMed",507.4,496.6,469.4,442.3,415.2,388
585.5,573.9,544.7,515.5,486.4,457.2,"Assura, PreventoMed",544.6,533.8,506.6,479.5,452.4,425.2
539.3,527.7,498.5,469.3,440.2,411,"Assura, Qualimed",501.6,490.8,463.7,436.5,409.4,382.3
