,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
543.7,532,502.8,473.7,444.5,415.3,"Galenos, Med Direct",505.6,494.8,467.7,440.5,413.4,386.3
404.5,392.9,363.7,334.5,305.4,276.2,"Helsana, BeneFit PLUS Flexmed",376.2,365.4,338.3,311.1,284.1,256.9
404.5,392.9,363.7,334.5,305.4,276.2,"Helsana, BeneFit PLUS Hausarzt R1",376.2,365.4,338.3,311.1,284.1,256.9
414.1,402.5,373.3,344.1,315,285.8,"Helsana, BeneFit PLUS Hausarzt R2",385.2,374.4,347.2,320.1,293,265.8
423.8,412.2,383,353.8,324.7,295.5,"Helsana, BeneFit PLUS Hausarzt R3",394.2,383.4,356.2,329.1,302,274.9
433.4,421.8,392.6,363.4,334.3,305.1,"Helsana, BeneFit PLUS Hausarzt R4",403.1,392.3,365.2,338,310.9,283.8
412.7,401.1,371.9,342.7,,284.4,"KPT, KPTwin.doc",383.8,373,345.9,318.7,,264.5
433.1,421.6,392.6,363.1,334.1,305.1,"Mutuel, PrimaCare",402.8,392.1,365.2,337.7,310.8,283.8
441.1,429.5,400.3,371.1,342,312.8,"ÖKK, Hausarzt",410.3,399.5,372.3,345.2,318.1,291
421.7,410.2,381.2,351.7,322.7,293.7,"Philos, PrimaCare",392.2,381.5,354.6,327.1,300.2,273.2
479.8,468.1,438.9,409.8,380.6,351.4,"Sana24, Med Direct",448.4,437.5,410.2,383,355.7,328.5
390.7,379.1,349.9,320.7,291.6,262.4,"Sanitas, CareMed",363.8,353,325.8,298.6,271.5,244.3
386.6,375,345.8,316.6,287.5,258.3,"Sanitas, NetMed 1",360,349.2,322,294.8,267.7,240.5
390.7,379.1,349.9,320.7,291.6,262.4,"Sanitas, NetMed 2",363.8,353,325.8,298.6,271.5,244.3
390.7,379.1,349.9,320.7,291.6,262.4,"Sanitas, NetMed 3",363.8,353,325.8,298.6,271.5,244.3
417.4,405.9,376.9,347.4,318.4,289.4,"Supra, PrimaCare",388.2,377.5,350.6,323.1,296.2,269.2
461.6,450,420.8,394.1,367.4,343.3,"Swica, FAVORIT CASA",429.3,418.5,391.3,366.5,341.7,319.2
459.1,447.5,418.3,391.6,365,340.8,"Swica, FAVORIT MEDICA",427,416.1,389,364.2,339.4,316.9
414.2,407.5,378.4,349.2,315.1,285.9,"Swica, FAVORIT MEDPHARM",385.2,379,351.9,324.8,293,265.9
426.7,425,405.8,376.7,340,310.8,"Swica, FAVORIT MULTICHOICE",396.8,395.3,377.4,350.3,316.2,289.1
402.3,395.6,361.4,332.3,303.1,273.9,"Visana, Med Direct",376,369.8,337.8,310.6,283.3,256
473.9,462.3,433.1,403.9,374.8,345.6,"Vivacare, Med Direct",442.9,432,404.8,377.5,350.3,323
418.6,406.9,377.7,348.6,319.4,290.2,"Vivao Sympany, callmed 24",389.3,378.5,351.3,324.2,297.1,269.9
423.3,411.6,382.4,353.3,324.1,294.9,"Vivao Sympany, casamed hausarzt",393.7,382.8,355.7,328.6,301.5,274.3
409.2,397.5,368.3,339.2,310,280.8,"Vivao Sympany, casamed pharm",380.6,369.7,342.6,315.5,288.3,261.2
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,14/28,,Septembre 2023,,review-2023-09-24,,
,,,,,,Prämien – HMO,,,,,,
,,,,,,Primes – HMO,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
370.2,358.6,329.4,300.2,271.1,241.9,"Atupri, HMO",351.7,340.7,312.9,285.2,257.5,229.8
436.5,425,396,366.5,337.5,308.5,"Avenir, OptiMed",406,395.3,368.3,340.9,313.9,287
397.6,386,356.8,327.6,298.5,269.3,"Concordia, HMO",375.8,364.8,337.2,309.6,282.1,254.5
428.5,417,388,358.5,329.5,300.5,"Easy Sana, OptiMed",398.6,387.9,360.9,333.5,306.5,279.5
641.3,629.7,600.5,571.3,542.2,513,"Galenos, Managed Care",596.5,585.6,558.5,531.4,504.3,477.1
427.3,415.7,386.5,357.3,,299,"KPT, KPTwin.plus",397.4,386.6,359.4,332.3,,278.1
435.7,424.2,395.2,365.7,336.7,307.7,"Mutuel, OptiMed",405.3,394.6,367.6,340.2,313.2,286.2
475.8,464.2,435,405.8,376.7,347.5,"ÖKK, Gesundheitszentrum",442.5,431.8,404.6,377.4,350.4,323.2
458.1,446.6,417.6,388.1,359.1,330.1,"Philos, OptiMed",426.1,415.4,388.4,361,334,307
470.3,458.7,429.5,400.3,371.2,342,"Sana24, Managed Care",439.6,428.7,401.4,374.2,346.9,319.7
504.7,493,463.8,434.7,405.5,376.3,"Sana24, Managed Care ohne Capitation",471.7,460.8,433.5,406.3,379,351.7
388.8,377.2,348,318.8,289.7,260.5,"Sanitas, Medbase MultiAccess",362,351.2,324,296.9,269.8,242.6
426,414.3,398.1,368.9,329.4,300.2,"Swica, FAVORIT SANTE",396.1,385.3,370.2,343.1,306.3,279.2
396.3,389.6,355.5,326.3,297.1,268,"Visana, Managed Care",370.4,364.2,332.3,305,277.7,250.5
484.5,472.8,443.6,414.5,385.3,356.1,"Vivacare, Managed Care",452.8,441.9,414.7,387.4,360.1,332.9
397.4,385.7,356.5,327.4,298.2,269,"Vivao Sympany, casamed hmo",369.6,358.8,331.6,304.5,277.4,250.2
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,15/28,,Septembre 2023,,review-2023-09-24,,
,,,,,,Prämien – HMO,,,,,,
,,,,,,Primes – HMO,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Junge Erwachsene / Jeunes adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
349.9,338.3,309.1,279.9,250.8,221.6,"Atupri, HMO",332.4,321.4,293.6,265.9,238.3,210.5
406,394.5,365.5,336,307,278,"Avenir, OptiMed",377.6,366.9,340,312.5,285.6,258.6
377.4,365.8,336.6,307.4,278.3,249.1,"Concordia, HMO",356.7,345.7,318.1,290.5,263,235.4
398.5,387,358,328.5,299.5,270.5,"Easy Sana, OptiMed",370.7,360,333,305.6,278.6,251.6
585.2,573.5,544.3,515.2,486,456.8,"Galenos, Managed Care",544.2,533.4,506.3,479.1,452,424.9
396,384.4,355.2,326,,267.7,"KPT, KPTwin.plus",368.3,357.5,330.3,303.2,,249
409.6,398.1,369.1,339.6,310.6,281.6,"Mutuel, OptiMed",381,370.3,343.3,315.9,288.9,261.9
453,441.4,412.2,383,353.9,324.7,"ÖKK, Gesundheitszentrum",421.3,410.6,383.4,356.2,329.2,302
403.1,391.6,362.6,333.1,304.1,275.1,"Philos, OptiMed",374.9,364.2,337.3,309.8,282.9,255.9
445.6,433.9,404.7,375.6,346.4,317.2,"Sana24, Managed Care",416.4,405.5,378.3,351,323.8,296.5
480.8,469.1,439.9,410.8,381.6,352.4,"Sana24, Managed Care ohne Capitation",449.3,438.4,411.2,383.9,356.7,329.4
386.6,375,345.8,316.6,287.5,258.3,"Sanitas, Medbase MultiAccess",360,349.2,322,294.8,267.7,240.5
409.2,397.6,380.9,351.7,312.6,283.4,"Swica, FAVORIT SANTE",380.6,369.7,354.2,327.1,290.7,263.6
379.4,372.8,338.6,309.4,280.3,251.1,"Visana, Managed Care",354.6,348.4,316.5,289.2,262,234.7
459.5,447.9,418.7,389.5,360.4,331.2,"Vivacare, Managed Care",429.5,418.6,391.3,364.1,336.8,309.6
404.5,392.8,363.6,334.5,305.3,276.1,"Vivao Sympany, casamed hmo",376.2,365.4,338.2,311.1,284,256.8
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,16/28,,Septembre 2023,,review-2023-09-24,,
,,,,,,Prämien – Grundversicherung,,,,,,,,
,,,,,,Primes – Assurance de base,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,,2024,VD,,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,,Kinder / Enfants,,,,,Franchise / Franchise,,
0,100,200,300,400,500,600,Region / Région 1,0,100,200,300,400,500,600
133.5,,121.8,116,110.2,104.3,98.5,Agrisano,126.8,,115.7,110.2,104.7,99.1,93.6
60.7,,52.2,44.3,37.4,35.8,34.6,"Agrisano, ab 3. Kind / dès le 3ème enfant",57.7,,49.6,42.1,35.5,34,32.9
133,127.2,121.4,115.6,109.7,103.9,,Aquilana,123.7,118.3,113,107.6,102.1,96.7,
66.5,63.6,60.7,57.8,54.9,52,,"Aquilana, ab 3. Kind / dès le 3ème enfant",61.9,59.2,56.5,53.8,51.1,48.4,
149.2,143.4,137.6,131.7,125.9,120.1,114.2,"Assura, Ein Kind / Un enfant",138.8,133.4,128,122.5,117.1,111.7,106.3
147.2,141.4,135.6,129.7,123.9,118.1,112.2,"Assura, Zwei Kinder / Deux enfants",136.9,131.6,126.2,120.7,115.3,109.9,104.4
145.2,139.4,133.6,127.7,121.9,116.1,110.2,"Assura, Drei und mehr Kinder / Trois enfants et plus",135.1,129.7,124.3,118.8,113.4,108,102.5
152.5,146.7,140.9,,129.2,,117.5,Atupri,144.9,139.4,133.9,,122.7,,111.6
158.8,153,147.2,141.3,135.5,129.7,123.8,"Avenir, Ein Kind / Un enfant",147.7,142.3,136.9,131.5,126.1,120.7,115.2
119.1,114.8,110.4,106,101.7,97.3,92.9,"Avenir, Drei und mehr Kinder / Trois enfants et plus",110.8,106.8,102.7,98.6,94.6,90.5,86.4
157.3,151.5,145.7,139.8,134,128.2,122.3,Concordia,148.7,143.2,137.7,132.2,126.7,121.2,115.6
74.4,68.6,62.8,56.9,51.1,45.3,39.4,"Concordia, ab 3. Kind / dès le 3ème enfant",70.4,64.9,59.4,53.8,48.3,42.9,37.3
139.3,133.5,127.7,121.8,116,,104.3,CSS,129.5,124.1,118.7,113.2,107.8,,97
163.3,157.5,151.7,145.8,140,134.2,128.3,"Easy Sana, Ein Kind / Un enfant",151.9,146.5,141.1,135.6,130.2,124.9,119.4
122.5,118.2,113.8,109.4,105,100.7,96.3,"Easy Sana, Drei und mehr Kinder / Trois enfants et",114,110,105.9,101.8,97.7,93.7,89.6
,,,,,,,plus,,,,,,,
153.3,152.4,151.4,150.4,149.4,148.4,,EGK,144.2,143.3,142.4,141.4,140.5,139.5,
119.9,118.9,117.9,116.9,115.9,114.9,,"EGK, ab 3. Kind / dès le 3ème enfant",112.8,111.8,110.9,109.9,109,108.1,
217,211.2,205.4,199.5,193.7,187.9,182,Galenos,201.9,196.4,191,185.6,180.2,174.7,169.3
87.5,81.6,75.8,70,64.1,58.3,52.5,"Galenos, ab 3. Kind / dès le 3ème enfant",81.4,75.9,70.5,65.1,59.7,54.2,48.8
157.7,,,,,128.6,,Helsana,146.7,,,,,119.6,
63.1,,,,,34,,"Helsana, ab 3. Kind / dès le 3ème enfant",58.7,,,,,31.7,
171.8,,,,,148.4,143.8,KLuG,166.6,,,,,144,139.5
155,,143.4,,131.7,,120,KPT,144.2,,133.4,,122.5,,111.6
161.2,155.4,149.6,143.7,137.9,132.1,126.2,"Mutuel, Ein Kind / Un enfant",150,144.6,139.2,133.7,128.3,122.9,117.4
120.9,116.6,112.2,107.8,103.5,99.1,94.7,"Mutuel, Drei und mehr Kinder / Trois enfants et plus",112.5,108.5,104.4,100.3,96.3,92.2,88.1
156.5,,144.9,,133.2,,121.5,ÖKK,145.6,,134.8,,123.9,,113
164,158.2,152.4,146.5,140.7,134.9,129,"Philos, Ein Kind / Un enfant",152.6,147.2,141.8,136.3,130.9,125.5,120
123,118.7,114.3,109.9,105.6,101.2,96.8,"Philos, Drei und mehr Kinder / Trois enfants et plus",114.4,110.4,106.3,102.3,98.3,94.2,90.1
168.6,,,151.1,,,133.6,Rhenusana,156.8,,,140.6,,,124.3
64.9,,,57.1,,,50.5,"Rhenusana, ab 3. Kind / dès le 3ème enfant",60.4,,,53.2,,,47
161.2,155.3,149.5,143.7,137.8,132,126.2,Sana24,150.6,145.2,139.7,134.3,128.8,123.4,117.9
62.2,57.9,53.6,49.2,44.9,40.6,36.3,"Sana24, ab 3. Kind / dès le 3ème enfant",58.2,54.1,50.1,46.1,42,38,33.9
154.7,148.9,143.1,137.2,131.4,125.6,119.7,Sanitas,144.1,138.7,133.3,127.8,122.4,117,111.5
153.8,148,142.2,136.3,130.5,124.7,118.8,"Supra, Ein Kind / Un enfant",143.1,137.7,132.3,126.8,121.4,116,110.5
115.4,111,106.7,102.3,97.9,93.6,89.1,"Supra, Drei und mehr Kinder / Trois enfants et plus",107.4,103.3,99.3,95.2,91.1,87.1,82.9
166.2,,154.6,,142.9,,131.2,Swica,154.6,,143.8,,132.9,,122.1
69.3,,57.7,,46,,37.3,"Swica, ab 3. Kind / dès le 3ème enfant",64.5,,53.6,,42.8,,34.7
156.8,150.9,145.1,139.3,133.4,127.6,121.8,Visana,146.5,141.1,135.6,130.2,124.7,119.3,113.8
68.4,62.5,56.7,50.9,45,39.2,36.8,"Visana, ab 3. Kind / dès le 3ème enfant",63.9,58.5,53,47.6,42.1,36.7,34.4
158,153.3,147,140.6,135.9,129.6,123.3,Vita Surselva,157.1,152.4,146.1,139.8,135.1,128.8,122.5
175.1,169.2,163.4,157.6,151.7,145.9,140.1,Vivacare,163.6,158.2,152.7,147.3,141.8,136.4,130.9
67.6,62.9,58.2,53.5,48.8,44.1,39.4,"Vivacare, ab 3. Kind / dès le 3ème enfant",63.2,58.8,54.4,50,45.6,41.2,36.8
154,,142.4,,130.7,,119,Vivao Sympany,143.3,,132.5,,121.6,,110.7
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,,September 2023,,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,,17/28,,Septembre 2023,,,review-2023-09-24,,
,,,,,,Prämien – Grundversicherung,,,,,,,,
,,,,,,Primes – Assurance de base,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,,2024,VD,,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,,Kinder / Enfants,,,,,Franchise / Franchise,,
0,100,200,300,400,500,600,Region / Région 2,0,100,200,300,400,500,600
116.7,,105,99.2,93.4,87.5,81.7,Agrisano,110.9,,99.8,94.2,88.7,83.1,77.6
53,,45.6,38.7,32.3,31.3,30.2,"Agrisano, ab 3. Kind / dès le 3ème enfant",50.4,,43.3,36.8,30.7,29.7,28.7
126.7,120.9,115.1,109.3,103.4,97.6,,Aquilana,117.9,112.5,107.1,101.7,96.2,90.8,
63.4,60.5,57.6,54.7,51.7,48.8,,"Aquilana, ab 3. Kind / dès le 3ème enfant",59,56.3,53.6,50.9,48.1,45.4,
136.6,130.8,125,119.1,113.3,107.5,101.6,"Assura, Ein Kind / Un enfant",127.1,121.7,116.3,110.8,105.4,100,94.5
134.7,128.9,123.1,117.2,111.4,105.6,99.7,"Assura, Zwei Kinder / Deux enfants",125.3,119.9,114.5,109,103.7,98.3,92.8
132.9,127.1,121.3,115.4,109.6,103.8,97.9,"Assura, Drei und mehr Kinder / Trois enfants et plus",123.6,118.3,112.9,107.4,102,96.6,91.1
146,140.2,134.4,,122.7,,111,Atupri,138.7,133.2,127.7,,116.6,,105.5
147.7,141.9,136.1,130.2,124.4,118.6,112.7,"Avenir, Ein Kind / Un enfant",137.4,132,126.6,121.1,115.7,110.3,104.9
110.8,106.5,102.1,97.7,93.3,89,84.6,"Avenir, Drei und mehr Kinder / Trois enfants et plus",103.1,99.1,95,90.9,86.8,82.8,78.7
149.3,143.5,137.7,131.8,126,120.2,114.3,Concordia,141.1,135.7,130.2,124.6,119.1,113.6,108.1
70.7,64.9,59.1,53.2,47.4,41.6,37.5,"Concordia, ab 3. Kind / dès le 3ème enfant",66.9,61.4,55.9,50.3,44.8,39.4,35.5
131.3,125.5,119.7,113.8,108,,96.3,CSS,122.1,116.8,111.4,105.9,100.5,,89.6
151.9,146.1,140.3,134.4,128.6,122.8,116.9,"Easy Sana, Ein Kind / Un enfant",141.3,135.9,130.5,125,119.6,114.3,108.8
114,109.6,105.3,100.8,96.5,92.1,87.7,"Easy Sana, Drei und mehr Kinder / Trois enfants et",106.1,102,98,93.8,89.8,85.7,81.6
,,,,,,,plus,,,,,,,
132.7,131.7,130.7,129.7,128.7,127.7,,EGK,124.8,123.8,122.9,122,121,120.1,
103.7,102.7,101.7,100.7,99.7,98.8,,"EGK, ab 3. Kind / dès le 3ème enfant",97.5,96.6,95.6,94.7,93.8,92.9,
198.2,192.3,186.5,180.7,174.8,169,163.2,Galenos,184.3,178.9,173.5,168,162.6,157.2,151.8
79.6,73.8,68,62.1,56.3,50.5,44.6,"Galenos, ab 3. Kind / dès le 3ème enfant",74.1,68.7,63.2,57.8,52.4,47,41.5
150.5,,,,,121.4,,Helsana,140,,,,,113,
60.2,,,,,32.3,,"Helsana, ab 3. Kind / dès le 3ème enfant",56,,,,,30.1,
160.8,,,,,137.4,132.8,KLuG,156,,,,,133.3,128.8
138.9,,127.3,,115.6,,103.9,KPT,129.2,,118.4,,107.5,,96.6
153.2,147.4,141.6,135.7,129.9,124.1,118.2,"Mutuel, Ein Kind / Un enfant",142.5,137.1,131.7,126.3,120.9,115.5,110
114.9,110.6,106.2,101.8,97.5,93.1,88.7,"Mutuel, Drei und mehr Kinder / Trois enfants et plus",106.9,102.9,98.8,94.7,90.7,86.6,82.5
149,,137.4,,125.7,,114,ÖKK,138.6,,127.8,,117,,106.1
147.6,141.8,136,130.1,124.3,118.5,112.6,"Philos, Ein Kind / Un enfant",137.3,131.9,126.5,121,115.6,110.3,104.8
110.7,106.4,102,97.6,93.3,88.9,84.5,"Philos, Drei und mehr Kinder / Trois enfants et plus",103,99,94.9,90.8,86.8,82.7,78.6
161.7,,,144.2,,,126.7,Rhenusana,150.4,,,134.2,,,117.9
62.1,,,54.3,,,47.9,"Rhenusana, ab 3. Kind / dès le 3ème enfant",57.8,,,50.5,,,44.6
153.5,147.7,141.9,136,130.2,124.4,118.5,Sana24,143.5,138.1,132.6,127.2,121.7,116.3,110.8
59.3,55.2,51.1,46.9,42.8,38.7,34.6,"Sana24, ab 3. Kind / dès le 3ème enfant",55.4,51.6,47.7,43.9,40,36.2,32.3
153.9,148.1,142.3,136.4,130.6,124.8,118.9,Sanitas,143.3,137.9,132.5,127,121.6,116.2,110.7
144.6,138.8,133,127.1,121.3,115.5,109.6,"Supra, Ein Kind / Un enfant",134.5,129.1,123.7,118.3,112.9,107.5,102
108.5,104.1,99.8,95.4,91,86.7,82.2,"Supra, Drei und mehr Kinder / Trois enfants et plus",101,96.9,92.9,88.8,84.7,80.7,76.5
159.7,,148.1,,136.4,,124.7,Swica,148.6,,137.7,,126.9,,116
66.6,,55,,43.3,,35.9,"Swica, ab 3. Kind / dès le 3ème enfant",62,,51.1,,40.3,,33.3
150.5,144.6,138.8,133,127.1,121.3,115.5,Visana,140.6,135.2,129.7,124.3,118.8,113.4,107.9
65.6,59.8,54,48.1,42.3,36.5,35.3,"Visana, ab 3. Kind / dès le 3ème enfant",61.4,55.9,50.5,45,39.6,34.1,33
148,142.4,137.7,131.7,125.8,119.9,114,Vita Surselva,147.1,141.6,136.8,130.9,125.1,119.2,113.3
165.9,160.1,154.2,148.4,142.6,136.7,130.9,Vivacare,155.1,149.6,144.2,138.7,133.3,127.8,122.4
64.1,59.6,55.1,50.7,46.2,41.8,37.3,"Vivacare, ab 3. Kind / dès le 3ème enfant",59.9,55.7,51.6,47.4,43.2,39.1,34.9
156.8,,145.1,,133.5,,121.8,Vivao Sympany,145.9,,135,,124.2,,113.3
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,,September 2023,,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,,18/28,,Septembre 2023,,,review-2023-09-24,,
,,,,Prämien – Weitere Versicherungsmodelle,,,,,,,,,,
,,,,Primes – Autres modèles d'assurance,,,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,,2024,VD,,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,,Kinder / Enfants,,,,,Franchise / Franchise,,
0,100,200,300,400,500,600,Region / Région 1,0,100,200,300,400,500,600
115.7,110.7,105.7,100.6,94.4,87.3,,"Aquilana, SMARTMED",107.7,103,98.4,93.6,87.8,81.2,
57.9,55.4,52.9,50.3,47.2,43.7,,"Aquilana, SMARTMED, ab 3. Kind / dès le 3ème",53.9,51.5,49.2,46.8,43.9,40.6,
,,,,,,,enfant,,,,,,,
131.3,125.5,119.7,113.8,108,102.2,96.3,"Assura, Gesundheitnetz, Ein Kind / Un enfant",122.2,116.8,111.4,105.9,100.5,95.1,89.6
129.6,123.8,118,112.1,106.3,100.5,94.6,"Assura, Gesundheitnetz, Zwei Kinder / Deux enfants",120.6,115.2,109.8,104.3,98.9,93.5,88
127.8,122,116.2,110.3,104.5,98.7,92.8,"Assura, Gesundheitnetz, Drei und mehr Kinder / Trois",118.9,113.5,108.1,102.6,97.2,91.8,86.4
,,,,,,,enfants et plus,,,,,,,
138.8,133,127.2,,115.5,,103.8,"Atupri, SmartCare",131.9,126.4,120.8,,109.7,,98.6
141.8,136,130.2,,118.5,,106.8,"Atupri, TelFirst",134.7,129.2,123.7,,112.6,,101.5
139.8,134,128.2,122.3,116.5,110.7,104.8,"Avenir, PrimaFlex, Ein Kind / Un enfant",130.1,124.7,119.3,113.8,108.4,103,97.5
104.9,100.5,96.2,91.8,87.4,83.1,78.6,"Avenir, PrimaFlex, Drei und mehr Kinder / Trois",97.6,93.5,89.5,85.4,81.3,77.3,73.1
,,,,,,,enfants et plus,,,,,,,
143,137.2,131.4,125.5,119.7,113.9,108,"Avenir, SanaTel, Ein Kind / Un enfant",133,127.6,122.3,116.8,111.4,106,100.5
107.3,102.9,98.6,94.2,89.8,85.5,81,"Avenir, SanaTel, Drei und mehr Kinder / Trois enfants",99.8,95.7,91.7,87.7,83.6,79.6,75.4
,,,,,,,et plus,,,,,,,
134.5,128.7,122.9,117,111.2,105.4,99.5,"Concordia, smartDoc",127.2,121.7,116.2,110.6,105.1,99.7,94.1
63.7,57.9,52.1,46.2,40.4,39.4,39.4,"Concordia, smartDoc, ab 3. Kind / dès le 3ème enfant",60.2,54.8,49.3,43.7,38.2,37.3,37.3
125.3,119.5,113.7,107.8,102,,90.3,"CSS, Callmed",116.6,111.2,105.8,100.3,94.9,,84
143.8,138,132.2,126.3,120.5,114.7,108.8,"Easy Sana, PrimaFlex, Ein Kind / Un enfant",133.8,128.4,123,117.5,112.1,106.7,101.2
107.9,103.5,99.2,94.8,90.4,86.1,81.6,"Easy Sana, PrimaFlex, Drei und mehr Kinder / Trois",100.4,96.3,92.3,88.2,84.1,80.1,75.9
,,,,,,,enfants et plus,,,,,,,
147,141.2,135.4,129.5,123.7,117.9,112,"Easy Sana, SanaTel, Ein Kind / Un enfant",136.8,131.4,126,120.5,115.1,109.7,104.2
110.3,105.9,101.6,97.2,92.8,88.5,84,"Easy Sana, SanaTel, Drei und mehr Kinder / Trois",102.6,98.5,94.5,90.4,86.4,82.4,78.2
,,,,,,,enfants et plus,,,,,,,
135,134,133,132,131,130,,"EGK, EGK-TelCare",126.9,126,125.1,124.1,123.2,122.2,
105.6,104.6,103.6,102.6,101.6,100.6,,"EGK, EGK-TelCare, ab 3. Kind / dès le 3ème enfant",99.3,98.4,97.4,96.5,95.6,94.6,
134,,,,,104.9,,"Helsana, BeneFit PLUS Telmed",124.7,,,,,97.6,
53.6,,,,,33.9,,"Helsana, BeneFit PLUS Telmed, ab 3. Kind / dès le",49.9,,,,,31.6,
,,,,,,,3ème enfant,,,,,,,
145,,,,,115.9,,"Helsana, Premed-24",134.9,,,,,107.8,
58,,,,,33.9,,"Helsana, Premed-24, ab 3. Kind / dès le 3ème enfant",54,,,,,31.6,
133.4,,123.4,,113.4,,103.3,"KPT, KPTwin.easy",124,,114.7,,105.4,,96
142.7,,132,,121.2,,110.5,"KPT, KPTwin.win",132.7,,122.7,,112.7,,102.7
143.5,137.7,131.9,126,120.2,114.4,108.5,"Mutuel, PrimaFlex, Ein Kind / Un enfant",133.5,128.1,122.7,117.2,111.8,106.4,101
107.7,103.3,99,94.5,90.2,85.8,81.4,"Mutuel, PrimaFlex, Drei und mehr Kinder / Trois",100.2,96.1,92.1,87.9,83.9,79.8,75.8
,,,,,,,enfants et plus,,,,,,,
144.3,138.5,132.7,126.8,121,115.2,109.3,"Mutuel, SanaTel, Ein Kind / Un enfant",134.2,128.9,123.5,118,112.6,107.2,101.7
108.3,103.9,99.6,95.1,90.8,86.4,82,"Mutuel, SanaTel, Drei und mehr Kinder / Trois enfants",100.8,96.7,92.7,88.5,84.5,80.4,76.3
,,,,,,,et plus,,,,,,,
137,,125.4,,113.7,,102,"ÖKK, Select",127.5,,116.7,,105.8,,94.9
144.8,,133.2,,121.5,,109.8,"ÖKK, Telemedizin",134.7,,123.9,,113,,102.2
142.7,136.9,131.1,125.2,119.4,113.6,107.7,"Philos, PrimaFlex, Ein Kind / Un enfant",132.8,127.4,122,116.5,111.1,105.7,100.2
107.1,102.7,98.4,93.9,89.6,85.2,80.8,"Philos, PrimaFlex, Drei und mehr Kinder / Trois",99.7,95.6,91.6,87.4,83.4,79.3,75.2
,,,,,,,enfants et plus,,,,,,,
146,140.2,134.4,128.5,122.7,116.9,111,"Philos, SanaTel, Ein Kind / Un enfant",135.8,130.4,125,119.6,114.2,108.8,103.3
109.5,105.2,100.8,96.4,92.1,87.7,83.3,"Philos, SanaTel, Drei und mehr Kinder / Trois enfants",101.9,97.9,93.8,89.7,85.7,81.6,77.5
,,,,,,,et plus,,,,,,,
159.6,153.7,147.9,142.1,136.2,130.4,124.6,"Sana24, Combi Care",149.1,143.7,138.2,132.8,127.3,121.9,116.4
61.6,57.3,53,48.8,44.5,40.2,35.9,"Sana24, Combi Care, ab 3. Kind / dès le 3ème enfant",57.6,53.6,49.6,45.6,41.6,37.6,33.6
159.6,153.7,147.9,142.1,136.2,130.4,124.6,"Sana24, Med Call",149.1,143.7,138.2,132.8,127.3,121.9,116.4
61.6,57.3,53,48.8,44.5,40.2,35.9,"Sana24, Med Call, ab 3. Kind / dès le 3ème enfant",57.6,53.6,49.6,45.6,41.6,37.6,33.6
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,,September 2023,,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,,19/28,,Septembre 2023,,,review-2023-09-24,,
Mit Unfall / avec risque accidents,,,,,,,2024,VD,,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,,Kinder / Enfants,,,,,Franchise / Franchise,,
0,100,200,300,400,500,600,Region / Région 1,0,100,200,300,400,500,600
159.6,153.7,147.9,142.1,136.2,130.4,124.6,"Sana24, Tel Doc",149.1,143.7,138.2,132.8,127.3,121.9,116.4
61.6,57.3,53,48.8,44.5,40.2,35.9,"Sana24, Tel Doc, ab 3. Kind / dès le 3ème enfant",57.6,53.6,49.6,45.6,41.6,37.6,33.6
150.1,144.3,138.5,132.6,126.8,121,115.1,"Sanitas, CallMed",139.8,134.4,129,123.5,118.1,112.7,107.2
148.6,142.8,137,131.1,125.3,119.5,113.6,"Sanitas, CompactOne",138.4,133,127.6,122.1,116.7,111.3,105.8
